Order_ID,Order_Date,Customer_ID,Region,Segment,Category,Product,Quantity,Price,Sales,Cost,Profit
ORD10000,2023-01-02,CUST6382,North,Consumer,Sports,Laptop,5,455.54,2277.7000000000003,2009.1435940062725,268.5564059937278
ORD10001,2023-09-13,CUST9235,North,Home Office,Clothing,T-shirt,7,338.34,2368.3799999999997,2089.13180189339,279.24819810660983
ORD10002,2023-12-27,CUST8957,South,Home Office,Home,Book,5,412.07,2060.35,1817.420645348739,242.92935465126084
ORD10003,2023-11-04,CUST1135,North,Corporate,Home,T-shirt,6,410.72,2464.32,2173.759819810132,290.56018018986833
ORD10004,2023-11-08,CUST3254,North,Consumer,Home,Lipstick,6,112.43,674.58,595.0424049017655,79.53759509823453
ORD10005,2023-03-19,CUST7247,South,Home Office,Home,Book,6,148.33,889.98,785.0452718943242,104.93472810567584
ORD10006,2023-05-04,CUST5444,West,Consumer,Electronics,Headphones,9,71.36,642.24,566.5155120580358,75.72448794196418
ORD10007,2023-07-10,CUST1811,West,Consumer,Home,Book,3,126.0,378.0,333.4312150565794,44.56878494342061
ORD10008,2023-11-20,CUST6691,West,Consumer,Books,Treadmill,5,247.21,1236.05,1090.3112523033994,145.7387476966005
ORD10009,2023-02-16,CUST4173,West,Corporate,Sports,Lipstick,8,197.36,1578.88,1392.7192508691326,186.16074913086754
ORD10010,2023-02-16,CUST6417,North,Consumer,Beauty,Treadmill,7,370.22,2591.54,2285.9797118193856,305.5602881806144
ORD10011,2023-01-23,CUST5470,North,Consumer,Books,Laptop,1,489.32,489.32,431.6258257975805,57.694174202419504
ORD10012,2023-01-17,CUST4071,North,Home Office,Electronics,Book,2,460.84,921.68,813.0076251146775,108.67237488532248
ORD10013,2023-07-05,CUST4668,South,Consumer,Sports,Blender,5,94.05,470.25,414.80430920729225,55.44569079270775
ORD10014,2023-12-19,CUST9484,East,Corporate,Electronics,Sofa,7,456.87,3198.09,2821.0133189425824,377.0766810574178
ORD10015,2023-02-08,CUST2265,North,Home Office,Clothing,Smartphone,8,417.91,3343.28,2949.084425064447,394.1955749355534
ORD10016,2023-11-25,CUST2589,North,Consumer,Home,Laptop,9,84.79,763.11,673.134112491604,89.975887508396
ORD10017,2023-12-05,CUST1871,North,Consumer,Home,Blender,9,344.18,3097.62,2732.389419004131,365.2305809958689
ORD10018,2023-08-26,CUST6278,South,Consumer,Sports,Sofa,7,259.86,1819.02,1604.5451026778283,214.47489732217173
ORD10019,2023-04-04,CUST8694,South,Corporate,Sports,Laptop,9,126.57,1139.1299999999999,1004.8187830883631,134.31121691163673
ORD10020,2023-01-06,CUST3911,East,Corporate,Beauty,Lipstick,9,302.4,2721.6,2400.7047484073714,320.8952515926285
ORD10021,2023-01-29,CUST7334,West,Corporate,Sports,Blender,5,221.14,1105.6999999999998,975.3304086985709,130.36959130142895
ORD10022,2023-11-21,CUST3269,South,Home Office,Sports,Laptop,3,315.46,946.3799999999999,834.7953262043534,111.5846737956465
ORD10023,2023-09-20,CUST7475,West,Consumer,Books,T-shirt,7,73.0,511.0,450.74960553944993,60.25039446055007
ORD10024,2023-06-11,CUST1915,West,Home Office,Books,Book,3,313.97,941.9100000000001,830.8523697723352,111.05763022766484
ORD10025,2023-06-19,CUST2401,North,Home Office,Electronics,Smartphone,6,444.75,2668.5,2353.865601530376,314.6343984696241
ORD10026,2023-11-15,CUST1218,West,Home Office,Electronics,Lipstick,3,108.6,325.79999999999995,287.3859520249565,38.414047975043445
ORD10027,2023-11-05,CUST7185,East,Consumer,Books,Sofa,8,107.39,859.12,757.8238769296521,101.2961230703479
ORD10028,2023-03-30,CUST6758,North,Corporate,Books,Blender,3,163.41,490.23,432.4285305745686,57.801469425431435
ORD10029,2023-11-17,CUST6436,East,Corporate,Electronics,Treadmill,8,367.43,2939.44,2592.859922714052,346.58007728594794
ORD10030,2023-07-17,CUST8792,West,Home Office,Sports,T-shirt,2,294.35,588.7,519.2882441899691,69.41175581003097
ORD10031,2023-11-11,CUST6929,North,Consumer,Sports,Lipstick,1,330.61,330.61,291.62882013189346,38.98117986810655
ORD10032,2023-02-23,CUST2078,East,Corporate,Clothing,Treadmill,7,96.86,678.02,598.0768053774126,79.94319462258738
ORD10033,2023-09-03,CUST1563,South,Home Office,Beauty,T-shirt,7,381.79,2672.53,2357.4204369713234,315.1095630286768
ORD10034,2023-05-01,CUST3681,East,Home Office,Sports,Sofa,2,320.4,640.8,565.2452979054393,75.55470209456064
ORD10035,2023-09-13,CUST7715,West,Corporate,Beauty,Treadmill,6,371.67,2230.02,1967.085392064744,262.93460793525605
ORD10036,2023-12-09,CUST1078,South,Corporate,Sports,Book,7,269.76,1888.32,1665.6741587715344,222.64584122846554
ORD10037,2023-12-06,CUST4454,South,Corporate,Sports,Treadmill,7,119.03,833.21,734.9688431145305,98.24115688546954
ORD10038,2023-02-13,CUST8201,East,Consumer,Beauty,Headphones,5,384.42,1922.1000000000001,1695.4712657678606,226.62873423213955
ORD10039,2023-01-03,CUST8456,South,Corporate,Beauty,Sofa,9,183.72,1653.48,1458.523400718923,194.95659928107693
ORD10040,2023-01-07,CUST6966,West,Home Office,Home,Smartphone,7,333.78,2336.46,2060.9753881775014,275.48461182249866
ORD10041,2023-10-10,CUST5995,West,Consumer,Clothing,Laptop,1,134.35,134.35,118.50921625092974,15.840783749070255
ORD10042,2023-01-31,CUST3682,East,Consumer,Sports,Book,4,405.59,1622.36,1431.0726615322544,191.28733846774549
ORD10043,2023-04-07,CUST8734,South,Consumer,Beauty,Smartphone,6,475.64,2853.84,2517.352748087483,336.48725191251697
ORD10044,2023-04-11,CUST4032,South,Home Office,Beauty,Lipstick,2,389.0,778.0,686.2684796667163,91.7315203332837
ORD10045,2023-05-17,CUST6453,West,Corporate,Electronics,T-shirt,7,415.67,2909.69,2566.617651158673,343.07234884132686
ORD10046,2023-07-29,CUST6596,North,Consumer,Home,Headphones,3,280.85,842.5500000000001,743.2075932431773,99.34240675682281
